2025-10-07 16:59:39,495 INFO    MainThread:16629 [wandb_setup.py:_flush():81] Current SDK version is 0.22.1
2025-10-07 16:59:39,496 INFO    MainThread:16629 [wandb_setup.py:_flush():81] Configure stats pid to 16629
2025-10-07 16:59:39,496 INFO    MainThread:16629 [wandb_setup.py:_flush():81] Loading settings from /home/ubuntu/.config/wandb/settings
2025-10-07 16:59:39,496 INFO    MainThread:16629 [wandb_setup.py:_flush():81] Loading settings from /home/ubuntu/code/nanogpt/wandb/settings
2025-10-07 16:59:39,496 INFO    MainThread:16629 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-10-07 16:59:39,496 INFO    MainThread:16629 [wandb_init.py:setup_run_log_directory():705] Logging user logs to /home/ubuntu/code/nanogpt/wandb/run-20251007_165939-pc2ohyup/logs/debug.log
2025-10-07 16:59:39,496 INFO    MainThread:16629 [wandb_init.py:setup_run_log_directory():706] Logging internal logs to /home/ubuntu/code/nanogpt/wandb/run-20251007_165939-pc2ohyup/logs/debug-internal.log
2025-10-07 16:59:39,496 INFO    MainThread:16629 [wandb_init.py:init():832] calling init triggers
2025-10-07 16:59:39,496 INFO    MainThread:16629 [wandb_init.py:init():837] wandb.init called with sweep_config: {}
config: {'max_iters': 20000, 'batch_size': 128, 'block_size': 256, 'learning_rate': 0.0003, 'n_embd': 384, 'n_head': 6, 'n_layer': 8, 'dropout': 0.2, 'device': 'cuda', '_wandb': {}}
2025-10-07 16:59:39,496 INFO    MainThread:16629 [wandb_init.py:init():880] starting backend
2025-10-07 16:59:39,701 INFO    MainThread:16629 [wandb_init.py:init():883] sending inform_init request
2025-10-07 16:59:39,705 INFO    MainThread:16629 [wandb_init.py:init():891] backend started and connected
2025-10-07 16:59:39,706 INFO    MainThread:16629 [wandb_init.py:init():961] updated telemetry
2025-10-07 16:59:39,707 INFO    MainThread:16629 [wandb_init.py:init():985] communicating run to backend with 90.0 second timeout
2025-10-07 16:59:40,114 INFO    MainThread:16629 [wandb_init.py:init():1036] starting run threads in backend
2025-10-07 16:59:40,146 INFO    MainThread:16629 [wandb_run.py:_console_start():2506] atexit reg
2025-10-07 16:59:40,146 INFO    MainThread:16629 [wandb_run.py:_redirect():2354] redirect: wrap_raw
2025-10-07 16:59:40,147 INFO    MainThread:16629 [wandb_run.py:_redirect():2423] Wrapping output streams.
2025-10-07 16:59:40,147 INFO    MainThread:16629 [wandb_run.py:_redirect():2446] Redirects installed.
2025-10-07 16:59:40,149 INFO    MainThread:16629 [wandb_init.py:init():1076] run started, returning control to user process
2025-10-07 17:33:57,590 INFO    wandb-AsyncioManager-main:16629 [service_client.py:_forward_responses():80] Reached EOF.
2025-10-07 17:33:57,590 INFO    wandb-AsyncioManager-main:16629 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
